Index,Height(Inches),Weight(Pounds),Weight(Kg),Height(Meters)
245,65.23126,117.0167,53.06879819,1.656874004
246,69.89473,115.6752,52.46040816,1.775326142
247,69.83048,134.7905,61.12947846,1.773694192
248,65.3979,120.5746,54.68235828,1.66110666
249,68.32214,120.0835,54.45963719,1.735382356
250,65.93895,84.3598,38.2584127,1.67484933
251,70.09805,138.9394,63.01106576,1.78049047
252,66.05531,143.5245,65.09047619,1.677804874
253,68.23481,123.1347,55.84340136,1.733164174
254,65.21758,115.5261,52.39278912,1.656526532
255,69.16173,120.9844,54.86820862,1.756707942
256,67.60064,120.6473,54.7153288,1.717056256
257,67.28621,124.0352,56.25179138,1.709069734
258,66.84323,117.2238,53.16272109,1.697818042
259,68.08281,127.9598,58.03165533,1.729303374
260,66.56991,116.7527,52.94907029,1.690875714
261,70.16973,121.9957,55.32684807,1.782311142
262,67.85113,123.9952,56.23365079,1.723418702
263,66.62309,108.855,49.36734694,1.692226486
264,63.68816,104.6574,47.46367347,1.617679264
265,68.0356,132.248,59.97641723,1.72810424
266,66.941,127.1834,57.67954649,1.7003014
267,66.26292,125.1209,56.74417234,1.683078168
268,70.7301,133.322,60.46349206,1.79654454
269,70.70844,122.3364,55.48136054,1.795994376
270,73.26872,130.2636,59.07646259,1.861025488
271,63.79021,116.7431,52.94471655,1.620271334
272,67.84109,125.8534,57.07637188,1.723163686
273,67.78058,100.627,45.63582766,1.721626732
274,67.23901,118.4945,53.73900227,1.707870854
275,66.75701,137.1255,62.18843537,1.695628054
276,69.03098,118.6991,53.83179138,1.753386892
277,68.52652,124.1641,56.31024943,1.740573608
278,64.65419,124.9442,56.66403628,1.642216426
279,65.14295,126.3889,57.31922902,1.65463093
280,66.74124,121.5255,55.11360544,1.695227496
281,66.99923,133.2951,60.45129252,1.701780442
282,70.26611,127.4072,57.78104308,1.784759194
283,67.57666,125.08,56.72562358,1.716447164
284,66.30582,102.8114,46.62648526,1.684167828
285,68.90702,134.2212,60.87129252,1.750238308
286,65.60543,100.9758,45.79401361,1.666377922
287,68.00189,145.8886,66.16263039,1.727248006
288,69.93715,155.3046,70.43292517,1.77640361
289,70.1459,138.7175,62.91043084,1.78170586
290,66.66364,116.2611,52.72612245,1.693256456
291,69.40676,120.6087,54.69782313,1.762931704
292,66.80598,114.4083,51.88585034,1.696871892
293,67.70048,133.3406,60.47192744,1.719592192
294,69.13438,92.74955,42.06328798,1.756013252
295,67.53769,131.7825,59.76530612,1.715457326
296,65.77912,118.3865,53.69002268,1.670789648
297,66.25769,131.1466,59.4769161,1.682945326
298,67.39038,130.2033,59.04911565,1.711715652
299,64.94327,129.1836,58.58666667,1.649559058
300,69.25699,143.1445,64.91814059,1.759127546
301,69.07739,138.7307,62.91641723,1.754565706
302,69.64403,130.9528,59.38902494,1.768958362
303,69.07705,124.3032,56.37333333,1.75455707
304,68.01304,135.3702,61.39238095,1.727531216
305,68.85664,124.1988,56.32598639,1.748958656
306,63.19158,111.2389,50.44848073,1.605066132
307,65.57591,129.4037,58.68648526,1.665628114
308,69.12101,127.7444,57.93396825,1.755673654
309,69.78765,121.3311,55.02544218,1.77260631
310,67.48203,118.2183,53.6137415,1.714043562
311,69.08809,123.3441,55.93836735,1.754837486
312,68.5529,151.9118,68.89424036,1.74124366
313,68.21327,115.3108,52.29514739,1.732617058
314,67.1012,122.3844,55.50312925,1.70437048
315,71.23661,129.2323,58.60875283,1.809409894
316,69.11946,138.2824,62.71310658,1.755634284
317,65.49848,144.0565,65.33174603,1.663661392
318,66.58706,120.8482,54.80643991,1.691311324
319,67.99831,113.3034,51.3847619,1.727157074
320,72.57747,149.3227,67.72004535,1.843467738
321,67.97585,130.6373,59.24594104,1.72658659
322,66.62347,122.387,55.50430839,1.692236138
323,67.29574,133.8677,60.71097506,1.709311796
324,65.95951,134.8336,61.14902494,1.675371554
325,66.54011,137.8363,62.51079365,1.690118794
326,68.07723,112.6812,51.10258503,1.729161642
327,65.83291,121.1964,54.96435374,1.672155914
328,69.23721,114.9262,52.12072562,1.758625134
329,64.69413,110.3762,50.05723356,1.643230902
330,69.21372,126.0337,57.15814059,1.758028488
331,67.16792,118.7008,53.83256236,1.706065168
332,67.8467,119.3108,54.10920635,1.72330618
333,69.27389,150.7397,68.36267574,1.759556806
334,67.90547,121.1142,54.92707483,1.724798938
335,67.076,118.4065,53.69909297,1.7037304
336,70.01531,142.759,64.74331066,1.778388874
337,70.05454,145.6305,66.04557823,1.779385316
338,70.86714,127.3425,57.75170068,1.800025356
339,66.0586,115.9678,52.59310658,1.67788844
340,65.23745,104.4441,47.36693878,1.65703123
341,68.7413,138.4905,62.80748299,1.74602902
342,69.51946,145.5049,65.98861678,1.765794284
343,70.30764,124.4065,56.42018141,1.785814056
344,67.29982,124.1866,56.32045351,1.709415428
345,67.60582,126.1659,57.21809524,1.717187828
346,67.85566,138.8125,62.95351474,1.723533764
347,66.46536,121.5515,55.12539683,1.688220144
348,68.92071,114.2555,51.81655329,1.750586034
349,68.46886,129.4022,58.68580499,1.739109044
350,69.5193,137.5583,62.38471655,1.76579022
351,70.23956,134.4996,60.99755102,1.784084824
352,67.85651,127.7103,57.9185034,1.723555354
353,68.00435,115.6709,52.45845805,1.72731049
354,67.13983,131.5906,59.67827664,1.705351682
355,68.09931,127.5839,57.86117914,1.729722474
356,68.99077,125.7211,57.01637188,1.752365558
357,69.32618,119.9885,54.41655329,1.760884972
358,70.09286,140.8676,63.88553288,1.780358644
359,68.74304,136.9164,62.09360544,1.746073216
360,64.18633,118.4759,53.73056689,1.630332782
361,66.09074,129.5516,58.75356009,1.678704796
362,69.24418,152.0714,68.96662132,1.758802172
363,69.66512,120.8646,54.81387755,1.769494048
364,68.42721,136.1027,61.7245805,1.738051134
365,68.28613,130.0611,58.98462585,1.734467702
366,69.37684,131.7743,59.7615873,1.762171736
367,68.35315,139.38,63.21088435,1.73617001
368,72.32489,168.229,76.29433107,1.837052206
369,70.37159,127.6446,57.88870748,1.787438386
370,65.72927,131.8008,59.77360544,1.669523458
371,66.49627,122.8561,55.71705215,1.689005258
372,70.81339,140.2133,63.58879819,1.798660106
373,67.37579,142.6929,64.71333333,1.711345066
374,67.79709,137.4299,62.32648526,1.722046086
375,68.1607,126.0392,57.16063492,1.73128178
376,68.85782,143.5985,65.12403628,1.748988628
377,67.71342,122.62,55.60997732,1.719920868
378,64.66007,108.6044,49.25369615,1.642365778
379,65.73721,100.6617,45.65156463,1.669725134
380,68.42441,116.1397,52.67106576,1.737980014
381,68.88946,140.5293,63.73210884,1.749792284
382,68.27367,125.6907,57.00258503,1.734151218
383,69.18045,134.3329,60.92195011,1.75718343
384,72.60996,136.4649,61.88884354,1.844292984
385,66.04157,127.8822,57.99646259,1.677455878
386,69.2288,123.1361,55.84403628,1.75841152
387,68.87697,116.3375,52.76077098,1.749475038
388,66.46042,124.5581,56.48893424,1.688094668
389,69.30444,125.7853,57.04548753,1.760332776
390,67.58249,107.5905,48.79387755,1.716595246
391,69.41816,143.0236,64.86331066,1.763221264
392,67.46867,118.7434,53.85188209,1.713704218
393,66.44873,118.9856,53.96172336,1.687797742
394,68.76185,131.8744,59.80698413,1.74655099
395,63.76881,119.3691,54.13564626,1.619727774
396,69.03663,126.1223,57.198322,1.753530402
397,66.48966,126.6122,57.42049887,1.688837364
398,66.74224,113.5597,51.50099773,1.695252896
399,67.69394,115.8413,52.53573696,1.719426076
400,66.69066,130.2738,59.08108844,1.693942764
401,67.02877,125.4542,56.8953288,1.702530758
402,65.91096,117.1655,53.13628118,1.674138384
403,70.0304,137.3184,62.27591837,1.77877216
404,69.26978,149.4447,67.77537415,1.759452412
405,70.07695,151.0695,68.5122449,1.77995453
406,64.90942,116.9994,53.06095238,1.648699268
407,69.68744,138.1787,62.6660771,1.770060976
408,67.56524,127.621,57.87800454,1.716157096
409,63.85529,120.7514,54.76253968,1.621924366
410,71.6189,144.2537,65.42117914,1.81912006
411,64.98993,105.7939,47.97909297,1.650744222
412,64.60759,120.1567,54.49283447,1.641032786
413,62.01666,109.0848,49.47156463,1.575223164
414,65.28516,125.971,57.12970522,1.658243064
415,67.70163,110.2325,49.99206349,1.719621402
416,70.85794,134.4706,60.98439909,1.799791676
417,68.17075,115.5067,52.38399093,1.73153705
418,67.45006,125.1086,56.7385941,1.713231524
419,71.04224,116.4113,52.79424036,1.804472896
420,67.83032,133.3944,60.49632653,1.722890128
421,67.15488,108.7478,49.31873016,1.705733952
422,68.30289,134.3986,60.95174603,1.734893406
423,65.41208,131.2085,59.50498866,1.661466832
424,68.66755,130.8318,59.33414966,1.74415577
425,70.06733,127.0838,57.63437642,1.779710182
426,69.13413,119.4067,54.15269841,1.756006902
427,67.02078,105.5616,47.8737415,1.702327812
428,65.52274,134.4733,60.98562358,1.664277596
429,70.19808,132.6897,60.17673469,1.783031232
430,67.66866,126.058,57.169161,1.718783964
431,69.73257,126.3532,57.30303855,1.771207278
432,67.61719,142.3603,64.56249433,1.717476626
433,70.79589,124.5873,56.50217687,1.798215606
434,69.65804,122.3604,55.4922449,1.769314216
435,66.73277,123.2298,55.88653061,1.695012358
436,67.58008,131.4049,59.59405896,1.716534032
437,65.25317,124.3037,56.37356009,1.657430518
438,70.71387,128.3836,58.22385488,1.796132298
439,71.27374,136.853,62.06485261,1.810352996
440,66.55913,118.0569,53.54054422,1.690601902
441,68.04247,121.4969,55.10063492,1.728278738
442,68.11699,119.2811,54.09573696,1.730171546
443,71.2367,126.5545,57.39433107,1.80941218
444,66.92387,129.2477,58.61573696,1.699866298
445,71.10381,134.7804,61.12489796,1.806036774
446,69.41466,146.0725,66.24603175,1.763132364
447,69.16807,162.4109,73.65573696,1.756868978
448,68.57725,130.1885,59.04240363,1.74186215
449,69.60315,132.1941,59.95197279,1.76792001
450,69.05087,127.4591,57.8045805,1.753892098
451,68.28699,125.3466,56.84653061,1.734489546
452,69.25276,134.7559,61.11378685,1.759020104
453,68.23862,121.9395,55.30136054,1.733260948
454,67.6868,125.6688,56.99265306,1.71924472
455,68.84083,145.956,66.19319728,1.748557082
456,69.52061,119.9207,54.38580499,1.765823494
457,66.97668,111.5093,50.57111111,1.701207672
458,72.0053,138.676,62.89160998,1.82893462
459,67.44482,135.0151,61.23133787,1.713098428
460,66.06214,116.509,52.83854875,1.677978356
461,65.5747,123.9575,56.21655329,1.66559738
462,68.30171,136.952,62.10975057,1.734863434
463,71.02603,153.0797,69.42390023,1.804061162
464,70.76882,126.357,57.3047619,1.797528028
465,67.50812,145.0614,65.78748299,1.714706248
466,69.50936,135.1739,61.30335601,1.765537744
467,66.4455,108.806,49.34512472,1.6877157
468,68.5689,110.5155,50.12040816,1.74165006
469,67.01296,138.2685,62.70680272,1.702129184
470,68.70004,119.5111,54.20004535,1.744981016
471,68.23013,115.3214,52.29995465,1.733045302
472,70.40713,132.3684,60.03102041,1.788341102
473,65.69989,93.99438,42.62783673,1.668777206
474,65.7031,127.4051,57.7800907,1.66885874
475,68.48055,134.3024,60.90811791,1.73940597
476,66.62891,124.9721,56.67668934,1.692374314
477,66.84285,124.072,56.26848073,1.69780839
478,69.89734,133.5476,60.56580499,1.775392436
479,67.6543,134.1509,60.83941043,1.71841922
480,68.30917,130.2489,59.06979592,1.735052918
481,69.74848,138.0935,62.62743764,1.771611392
482,68.57906,126.6064,57.41786848,1.741908124
483,68.14477,131.8076,59.77668934,1.730877158
484,67.98093,131.7363,59.74435374,1.726715622
485,64.82535,117.6261,53.34517007,1.64656389
486,69.20785,126.1943,57.23097506,1.75787939
487,69.2656,127.5132,57.82911565,1.75934624
488,70.9403,142.4785,64.61609977,1.80188362
489,69.07826,139.444,63.2399093,1.754587804
490,66.20183,110.3204,50.03192744,1.681526482
491,71.05779,131.9541,59.84312925,1.804867866
492,68.99493,129.2037,58.59578231,1.752471222
493,70.96089,124.3513,56.39514739,1.802406606
494,66.02496,126.5251,57.38099773,1.677033984
495,69.8641,149.2303,67.67814059,1.77454814
496,66.82802,142.1577,64.47061224,1.697431708
497,69.09424,127.1436,57.6614966,1.754993696
498,66.81425,122.3353,55.48086168,1.69708195
499,67.13183,112.6659,51.09564626,1.705148482
500,64.57428,134.2647,60.89102041,1.640186712
501,68.68038,120.6936,54.73632653,1.744481652
502,67.53724,115.783,52.50929705,1.715445896
503,71.17732,128.6855,58.36077098,1.807903928
504,70.53514,134.7611,61.11614512,1.791592556
505,71.53411,118.3419,53.66979592,1.816966394
506,66.77301,106.1557,48.1431746,1.696034454
507,66.33636,126.3823,57.31623583,1.684943544
508,64.83095,114.3716,51.86920635,1.64670613
509,68.38247,130.2787,59.08331066,1.736914738
510,68.05038,123.3066,55.92136054,1.728479652
511,69.09149,122.8571,55.71750567,1.754923846
512,69.91046,125.6932,57.00371882,1.775725684
513,68.40737,111.7247,50.66879819,1.737547198
514,68.32559,125.5516,56.93950113,1.735469986
515,66.95555,119.9702,54.40825397,1.70067097
516,70.54816,132.6043,60.13800454,1.791923264
517,69.37805,132.6738,60.16952381,1.76220247
518,67.52012,117.4521,53.2662585,1.715011048
519,64.87142,101.8549,46.19269841,1.647734068
520,69.13396,128.4418,58.25024943,1.756002584
521,68.81192,134.0414,60.78975057,1.747822768
522,67.56446,127.7511,57.9370068,1.716137284
523,68.16772,127.6172,57.87628118,1.731460088
524,65.80687,139.3971,63.21863946,1.671494498
525,64.92276,113.9381,51.67260771,1.649038104
526,68.35584,147.5188,66.90195011,1.736238336
527,66.71546,132.6523,60.15977324,1.694572684
528,69.18196,132.8139,60.23306122,1.757221784
529,65.88795,105.0942,47.66176871,1.67355393
530,66.03733,127.5187,57.83160998,1.677348182
531,69.44194,130.7305,59.28820862,1.763825276
532,67.14847,128.5815,58.31360544,1.705571138
533,65.69442,122.5699,55.58725624,1.668638268
534,69.42723,157.2961,71.33609977,1.763451642
535,66.54503,121.1097,54.92503401,1.690243762
536,69.04469,147.5061,66.89619048,1.753735126
537,67.62036,117.493,53.28480726,1.717557144
538,69.59105,132.4472,60.06675737,1.76761267
539,68.12343,118.1774,53.59519274,1.730335122
540,71.22641,123.7319,56.11424036,1.809150814
541,66.43285,130.365,59.12244898,1.68739439
542,66.31808,122.8882,55.73160998,1.684479232
543,68.02724,107.8693,48.92031746,1.727891896
544,68.2876,118.591,53.78276644,1.73450504
545,66.91609,125.6467,56.98263039,1.699668686
546,71.77546,148.6016,67.39301587,1.823096684
547,66.04535,150.279,68.1537415,1.67755189
548,69.01455,127.0678,57.62712018,1.75296957
549,68.70744,128.7122,58.37287982,1.745168976
550,65.012,118.4233,53.70671202,1.6513048
551,66.05857,125.3879,56.86526077,1.677887678
552,71.16403,149.2676,67.69505669,1.807566362
553,67.55274,107.3484,48.68408163,1.715839596
554,68.83455,133.6992,60.63455782,1.74839757
555,68.11811,124.8508,56.621678,1.730199994
556,67.90528,112.7028,51.11238095,1.724794112
557,67.64085,127.8407,57.97764172,1.71807759
558,69.78282,134.1615,60.84421769,1.772483628
559,67.99889,138.6031,62.85854875,1.727171806
560,69.41465,126.044,57.16281179,1.76313211
561,70.42989,129.5856,58.76897959,1.788919206
562,67.67519,134.1054,60.81877551,1.718949826
563,67.88036,106.1251,48.12929705,1.724161144
564,68.06905,127.0561,57.62181406,1.72895387
565,66.99435,121.9241,55.29437642,1.70165649
566,71.57689,150.7365,68.36122449,1.818053006
567,64.36564,116.0061,52.61047619,1.634887256
568,67.93011,125.4748,56.9046712,1.725424794
569,69.91863,131.6099,59.68702948,1.775933202
570,69.93864,129.0696,58.53496599,1.776441456
571,66.79766,129.1117,58.55405896,1.696660564
572,70.11119,148.1624,67.1938322,1.780824226
573,68.94814,105.388,47.79501134,1.751282756
574,68.02886,110.5447,50.13365079,1.727933044
575,69.36148,118.6402,53.80507937,1.761781592
576,68.44886,122.8151,55.69845805,1.738601044
577,65.70282,124.887,56.63809524,1.668851628
578,69.55674,135.7695,61.57346939,1.766741196
579,65.84635,116.4563,52.81464853,1.67249729
580,68.79983,125.3617,56.85337868,1.747515682
581,69.03835,133.122,60.37278912,1.75357409
582,67.36352,138.3328,62.73596372,1.711033408
583,70.35788,124.4972,56.46131519,1.787090152
